,by,descendants,id,kids,score,time,title,type,url,text
0,mroche,114.0,38565651,"[38566669, 38567484, 38567910, 38566587, 38567948, 38567964, 38566569, 38567003, 38567844, 38566778, 38567551, 38566614, 38567569, 38567991, 38566384, 38567456, 38567601, 38567510, 38567911, 38567165, 38567133, 38567061, 38565652, 38566681, 38567328, 38566755, 38567335, 38567093, 38566734, 38567730, 38567410, 38567673, 38567686, 38567535, 38566408, 38566989, 38565944, 38567251, 38566889]",254,1702011830,Kagi Search – Paywalled articles indicator and improved weather widget,story,https://kagi.com/changelog,
1,GruHe,2.0,38567687,"[38567949, 38567688]",14,1702034436,"Dieselgate, but for trains – some heavyweight hardware hacking",story,https://badcyber.com/dieselgate-but-for-trains-some-heavyweight-hardware-hacking/,
2,indigodaddy,51.0,38565629,"[38568013, 38566158, 38565819, 38567803, 38565826, 38566225, 38567651, 38567154, 38566215, 38567122, 38567218, 38566652, 38566261, 38566464, 38566561, 38566040, 38567552, 38567487, 38566450, 38566999, 38567009]",101,1702011574,Reviving decade-old Macs with antiX and MX Linux (2022),story,https://sts10.github.io/2022/12/14/antix-on-2008-macbook-5-1.html,
3,gHeadphone,14.0,38567745,"[38568027, 38568015, 38568000, 38567993, 38567883]",16,1702034923,"Beyond ""Abolish the FDA""",story,https://www.astralcodexten.com/p/beyond-abolish-the-fda,
4,vwoolf,79.0,38562939,"[38565695, 38566149, 38567891, 38563107, 38566956, 38567451, 38565742, 38565271, 38567813, 38565269, 38566814, 38566436, 38566341, 38567121, 38567899, 38565250, 38567558, 38566109, 38567529, 38566378, 38566667, 38565410, 38565919, 38565648, 38566763, 38565613]",193,1701989744,A genetically modified bacterium that outcompetes bacteria causing tooth decay,story,https://www.astralcodexten.com/p/defying-cavity-lantern-bioworks-faq,
5,yjallouli,,38567944,,1,1702036809,Rollstack (YC W23) is hiring a senior software engineer in Brazil,job,https://www.ycombinator.com/companies/rollstack-2/jobs,
6,pconst167,19.0,38564286,"[38567790, 38566494, 38567316, 38567731, 38567501, 38567145, 38567191, 38566291, 38567178, 38565316, 38565057, 38565667, 38564932, 38565261, 38565799]",111,1701999159,Show HN: Homebrew 16bit CPU from 74HC logic with C compiler and Unix-like OS,story,http://www.sol-1.org/index.php,"This is a 16bit CPU+Minicomputer from pure 74 series logic. It has user&#x2F;kernel modes, virtual memory, prioritized IRQ&#x27;s and DMA. It has a full C compiler and a unix-like OS. It&#x27;s still in development."
7,geox,39.0,38555655,"[38564797, 38567859, 38567937, 38565251, 38567724, 38567889, 38566163, 38567550, 38567533, 38564868, 38565637, 38566038, 38564867, 38565543, 38565741]",114,1701952561,Electric eel’s zap can transfer genes to nearby animals,story,https://www.nagoya-u.ac.jp/researchinfo/result-en/2023/12/20231207-01.html,
8,pabs3,0.0,38566697,,8,1702024807,The Internet Shutdown Game,story,https://shutdowngame.apc.org/,
9,NeroVanbierv,9.0,38567397,"[38567908, 38567914, 38567902, 38567797, 38567930]",21,1702031409,"X.com is Twitter, but what are [a-z].com?",story,https://nerology.substack.com/p/xcom-is-twitter-but-what-are-a-zcom,
10,cglong,33.0,38563627,"[38564500, 38567468, 38564044, 38567613, 38564676, 38564476, 38564486, 38564112, 38565625, 38566419, 38564384, 38564381, 38564369, 38564291, 38565811]",120,1701993987,The Omnichord will be re-produced to commemorate our 70th anniversary,story,https://suzukimusic-global.com/products_single.php?parent_cate_cd=3&products_cate_cd=34&products_cd=315,
11,kiyanwang,143.0,38566235,"[38566920, 38567050, 38566648, 38567071, 38566779, 38567680, 38567890, 38566621, 38566297, 38567162, 38567409, 38566659, 38566643, 38566803, 38567001, 38566808, 38567222, 38566787, 38567607, 38566922, 38566782, 38567499, 38566946, 38567629, 38566897, 38567375, 38566707, 38567415, 38567254, 38566758, 38566843, 38567063, 38567394, 38567339, 38566622, 38566701, 38567361, 38567271, 38566662, 38566768, 38567235, 38567617, 38566575, 38566818, 38566846, 38566735, 38567064, 38567084, 38567242, 38567194, 38566536, 38566761, 38566664, 38566739]",179,1702019535,"Goodbye, Clean Code",story,https://overreacted.io/goodbye-clean-code/,
12,bibanez,27.0,38566475,"[38567705, 38567615, 38567590, 38567675, 38567184, 38567830, 38567010]",63,1702022430,Baldur's Gate 3 Wins Game of the Year at the Game Awards,story,https://www.nytimes.com/2023/12/07/arts/game-awards-winners-list.html,
13,DamonHD,382.0,38555115,"[38566236, 38567760, 38566193, 38564512, 38567922, 38561658, 38567123, 38566833, 38567746, 38563033, 38563226, 38565019, 38561797, 38566950, 38562355, 38561881, 38561589, 38564620, 38563951, 38563677, 38561984, 38561638, 38565193, 38561484, 38565541, 38563697, 38561601, 38566102, 38565188, 38563282, 38564216]",387,1701947066,Fairphone 5: Keeping it 10/10?,story,https://www.ifixit.com/News/87664/fairphone-5-keeping-it-10-10,
14,tptacek,132.0,38558423,"[38561615, 38566638, 38562923, 38559609, 38566972, 38559513, 38560615, 38559766, 38560081, 38561891, 38559451, 38561850, 38559741, 38561350, 38565734, 38563836, 38561794, 38559396, 38559578, 38565975, 38560300, 38563309, 38560098, 38561667, 38564447, 38560769, 38560164, 38565422, 38563387, 38561242, 38559205]",346,1701966970,A lost X-Files song,story,https://twitter.com/laurenancona/status/1731900441800155459,
15,apsec112,83.0,38562558,"[38565889, 38564177, 38563648, 38566432, 38567771, 38564127, 38563274, 38563798, 38566219, 38563371, 38567007, 38566838, 38565815, 38564602]",131,1701987255,How Many Hobbits? A Demographic Analysis of Middle Earth,story,https://medium.com/@lymanstone/how-many-hobbits-a-demographic-analysis-of-middle-earth-cd53b91d141f,
16,pndy,12.0,38542101,"[38564076, 38565441, 38567401, 38564686, 38564363, 38542181]",82,1701856366,"WikEM, the Global Emergency Medicine Wiki",story,https://wikem.org/wiki/Main_Page,
17,phil9l,0.0,38567074,,7,1702028324,Gaussian Head Avatar: Ultra High-Fidelity Head Avatar via Dynamic Gaussians,story,https://yuelangx.github.io/gaussianheadavatar/,
18,sebg,43.0,38564808,"[38567917, 38566978, 38565270, 38565505, 38566049, 38566666, 38566358, 38565746, 38565990, 38567544]",136,1702003528,We investigated France's mass profiling machine,story,https://www.lighthousereports.com/methodology/how-we-investigated-frances-mass-profiling-machine/,
19,isaacfrond,7.0,38567424,"[38567781, 38567774, 38567878, 38567481, 38567839]",23,1702031612,Tesla loses legal action in Sweden as dispute with Nordic unions escalates,story,https://www.theguardian.com/technology/2023/dec/07/tesla-loses-legal-action-sweden-nordic-unions-licence-plates-collective-bargaining,
20,dimmke,80.0,38559607,"[38560671, 38560045, 38559761, 38567854, 38561926, 38560117, 38564811, 38562032, 38562639, 38564052, 38567282, 38560677, 38560066, 38561945, 38560406, 38561844, 38566133, 38560479, 38559867, 38561228]",418,1701972296,Making noisy SVGs,story,https://daniel.do/article/making-noisy-svgs/,
21,todsacerdoti,10.0,38556162,"[38567391, 38566636, 38565957, 38566455, 38565883, 38565529, 38566444, 38566012]",38,1701956624,The Shunting-Yard Algorithm (2011),story,https://www.reedbeta.com/blog/the-shunting-yard-algorithm/,
22,ingen0s,6.0,38555294,"[38567352, 38565147, 38555295, 38565426]",33,1701948855,Exploring Quantum Computing with JavaScript: A Beginner's Guide,story,https://medium.com/@yourfuse/exploring-quantum-computing-with-javascript-a-beginners-guide-d29a4af15ec7,
23,teleforce,3.0,38555417,"[38565704, 38565922]",20,1701950099,Radio Architecture Matters: A Review of RF Sampling vs. Zero-IF,story,https://www.analog.com/en/technical-articles/radio-architecture-matters.html,
